MANUAL ACTUALIZADO - lib/objMotion/AdvanceMotionController.h
================================================================================
Funcion inicial del archivo
- Coordina ejes, HOME, validaciones, cola, perfil y ejecucion sincronizada.

Metodos, variables, secciones o instancias detectadas
- L15: `class AdvanceMotionController {`
- L17: `static const uint MAX_AXES = 8;`
- L18: `static const uint MIN_AXES = 1;`
- L43: `setHomeOrder({2, 0, 1});`
- L46: `setHomeOrderByName({"Z", "X", "Y"});`
- L57: `bool validateAxesStepPins();`
- L68: `bool validateAxisNames() const;`
- L104: `void prepareDirections(const MotionBlock& block);`
- L105: `void prepareBresenham(const MotionBlock& block);`
- L126: `void executeBresenhamStep();`
- L128: `uint32_t calculateCurrentStepDelayUs();`
- L130: `void loadNextPlannedMoveIfAvailable();`
- L161: `void init();`
- L163: `bool isValid() const;`
- L165: `uint getAxisCount() const;`
- L166: `const char* getAxisName(uint axisIndex) const;`
- L168: `void printAxisMap() const;`
- L169: `void printHomeOrder() const;`
- L184: `void clearMotionQueue();`
- L191: `bool prepareQueuedMoves();`
- L193: `uint getRawQueuedMoveCount() const;`
- L194: `uint getPlannedMoveCount() const;`
- L196: `void update();`
- L198: `bool isBusy() const;`
- L200: `void stop();`
- L201: `void emergencyStop();`
- L220: `void clearHomeOrder();`
- L222: `bool homeAxis(uint axisIndex);`
- L223: `bool homeAll();`

Quien lo manda a llamar / relacion con otros archivos
- Los headers en lib son incluidos por implementaciones en src y por prgProject/main.cpp.
- Los .cpp son compilados por prgProject/CMakeLists.txt y sus funciones se ejecutan desde main.cpp o desde otros objetos del controlador.
- Los archivos config/recipes/*.txt son consumidos por RecipeLoader/SdRecipeStorage/MachineRecipeParser cuando se carga una receta.
- Los manuales son referencia de uso y no participan en la compilacion.

Explicacion linea por linea
| Linea | Codigo | Explicacion |
|---:|---|---|
| 1 | `#ifndef ADVANCE_MOTION_CONTROLLER_H` | Directiva de preprocesador que protege o cierra la inclusion del header. |
| 2 | `#define ADVANCE_MOTION_CONTROLLER_H` | Directiva de preprocesador que protege o cierra la inclusion del header. |
| 3 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 4 | `#include <initializer_list>` | Incluye una dependencia necesaria para declaraciones, tipos o funciones usadas en este archivo. |
| 5 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 6 | `#include "pico/stdlib.h"` | Incluye una dependencia necesaria para declaraciones, tipos o funciones usadas en este archivo. |
| 7 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 8 | `#include "AdvanceStepperAxis.h"` | Incluye una dependencia necesaria para declaraciones, tipos o funciones usadas en este archivo. |
| 9 | `#include "StepperPioPulseEngine.h"` | Incluye una dependencia necesaria para declaraciones, tipos o funciones usadas en este archivo. |
| 10 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 11 | `#include "MotionBlock.h"` | Incluye una dependencia necesaria para declaraciones, tipos o funciones usadas en este archivo. |
| 12 | `#include "TrapezoidProfile.h"` | Incluye una dependencia necesaria para declaraciones, tipos o funciones usadas en este archivo. |
| 13 | `#include "MotionPlanner.h"` | Incluye una dependencia necesaria para declaraciones, tipos o funciones usadas en este archivo. |
| 14 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 15 | `class AdvanceMotionController {` | Declara una clase y agrupa estado interno con metodos relacionados. |
| 16 | `private:` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 17 | `    static const uint MAX_AXES = 8;` | Declara o define simbolo de alcance estatico/externo usado por otros modulos segun corresponda. |
| 18 | `    static const uint MIN_AXES = 1;` | Declara o define simbolo de alcance estatico/externo usado por otros modulos segun corresponda. |
| 19 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 20 | `    AdvanceStepperAxis* axes[MAX_AXES];` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 21 | `    uint axisCount;` | Declara o implementa una funcion/metodo; sus parametros controlan la operacion y su retorno informa resultado o dato. |
| 22 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 23 | `    StepperPioPulseEngine* pulseEngine;` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 24 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 25 | `    MotionPlanner planner;` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 26 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 27 | `    MotionBlock currentBlock;` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 28 | `    TrapezoidProfileData currentProfile;` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 29 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 30 | `    bool validController;` | Declara o implementa una funcion/metodo; sus parametros controlan la operacion y su retorno informa resultado o dato. |
| 31 | `    bool busy;` | Declara o implementa una funcion/metodo; sus parametros controlan la operacion y su retorno informa resultado o dato. |
| 32 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 33 | `    uint32_t dominantStepCounter;` | Declara o implementa una funcion/metodo; sus parametros controlan la operacion y su retorno informa resultado o dato. |
| 34 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 35 | `    int32_t bresenhamError[MAX_AXES];` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 36 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 37 | `    absolute_time_t nextStepTime;` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 38 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 39 | `    /*` | Comentario/documentacion interna del codigo o configuracion. |
| 40 | `        Orden configurable para HOME.` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 41 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 42 | `        Se puede configurar por índice:` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 43 | `        setHomeOrder({2, 0, 1});` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
