MANUAL ACTUALIZADO - lib/objStepper/AdvanceStepperAxis.h
================================================================================
Funcion inicial del archivo
- Representa un eje individual: pines, conversion mm/pasos, direccion, HOME y limites.

Metodos, variables, secciones o instancias detectadas
- L7: `class AdvanceStepperAxis {`
- L22: `void calculateStepsPerMm();`
- L35: `AdvanceStepperAxis(const StepperAxisConfig& axisConfig);`
- L37: `void init();`
- L39: `const char* getAxisName() const;`
- L41: `void enable();`
- L42: `void disable();`
- L44: `void setDirection(bool positiveDirection);`
- L45: `void setDirectionByDelta(int32_t deltaSteps);`
- L47: `void setCurrentPositionSteps(int32_t positionSteps);`
- L48: `void setCurrentPositionMm(float positionMm);`
- L50: `int32_t getCurrentPositionSteps() const;`
- L51: `float getCurrentPositionMm() const;`
- L53: `int32_t mmToSteps(float mm) const;`
- L54: `float stepsToMm(int32_t steps) const;`
- L56: `float getStepsPerMm() const;`
- L58: `float getMaxSpeedMmS() const;`
- L59: `float getAccelerationMmS2() const;`
- L61: `uint getStepPin() const;`
- L62: `uint getDirPin() const;`
- L63: `uint getEnablePin() const;`
- L65: `bool isEnabled() const;`
- L67: `void addPositionSteps(int32_t deltaSteps);`
- L69: `bool isHomeEnabled() const;`
- L70: `bool isHomeSensorActive() const;`
- L72: `bool isMinLimitEnabled() const;`
- L73: `bool isMaxLimitEnabled() const;`
- L75: `bool isMinLimitActive() const;`
- L76: `bool isMaxLimitActive() const;`
- L78: `bool getHomeDirectionPositive() const;`
- L80: `float getHomingSeekSpeedMmS() const;`
- L81: `float getHomingLatchSpeedMmS() const;`
- L82: `float getHomingBackoffMm() const;`
- L83: `float getMaxHomingTravelMm() const;`
- L84: `float getHomePositionMm() const;`
- L86: `bool isHomeSimulationEnabled() const;`
- L87: `void setHomeSimulationEnabled(bool enabled);`
- L88: `void setSimulatedHomeActive(bool active);`
- L90: `bool isHomed() const;`
- L91: `void setHomed(bool state);`
- L93: `bool areSoftLimitsEnabled() const;`
- L94: `bool isTargetWithinSoftLimits(float targetMm) const;`
- L95: `float getSoftLimitMinMm() const;`
- L96: `float getSoftLimitMaxMm() const;`

Quien lo manda a llamar / relacion con otros archivos
- Los headers en lib son incluidos por implementaciones en src y por prgProject/main.cpp.
- Los .cpp son compilados por prgProject/CMakeLists.txt y sus funciones se ejecutan desde main.cpp o desde otros objetos del controlador.
- Los archivos config/recipes/*.txt son consumidos por RecipeLoader/SdRecipeStorage/MachineRecipeParser cuando se carga una receta.
- Los manuales son referencia de uso y no participan en la compilacion.

Explicacion linea por linea
| Linea | Codigo | Explicacion |
|---:|---|---|
| 1 | `#ifndef ADVANCE_STEPPER_AXIS_H` | Directiva de preprocesador que protege o cierra la inclusion del header. |
| 2 | `#define ADVANCE_STEPPER_AXIS_H` | Directiva de preprocesador que protege o cierra la inclusion del header. |
| 3 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 4 | `#include "pico/stdlib.h"` | Incluye una dependencia necesaria para declaraciones, tipos o funciones usadas en este archivo. |
| 5 | `#include "StepperAxisConfig.h"` | Incluye una dependencia necesaria para declaraciones, tipos o funciones usadas en este archivo. |
| 6 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 7 | `class AdvanceStepperAxis {` | Declara una clase y agrupa estado interno con metodos relacionados. |
| 8 | `private:` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 9 | `    StepperAxisConfig config;` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 10 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 11 | `    float stepsPerMm;` | Declara o implementa una funcion/metodo; sus parametros controlan la operacion y su retorno informa resultado o dato. |
| 12 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 13 | `    int32_t currentPositionSteps;` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 14 | `    int32_t targetPositionSteps;` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 15 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 16 | `    bool enabled;` | Declara o implementa una funcion/metodo; sus parametros controlan la operacion y su retorno informa resultado o dato. |
| 17 | `    bool currentDirection;` | Declara o implementa una funcion/metodo; sus parametros controlan la operacion y su retorno informa resultado o dato. |
| 18 | `    bool homed;` | Declara o implementa una funcion/metodo; sus parametros controlan la operacion y su retorno informa resultado o dato. |
| 19 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 20 | `    bool simulatedHomeActive;` | Declara o implementa una funcion/metodo; sus parametros controlan la operacion y su retorno informa resultado o dato. |
| 21 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 22 | `    void calculateStepsPerMm();` | Declara o implementa una funcion/metodo; sus parametros controlan la operacion y su retorno informa resultado o dato. |
| 23 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 24 | `    void configureInputPin(` | Declara o implementa una funcion/metodo; sus parametros controlan la operacion y su retorno informa resultado o dato. |
