MANUAL ACTUALIZADO - FunctionBlocks/HomeSequenceFunctionBlock.cpp
================================================================================
Funcion inicial del archivo
- Encapsula la secuencia de HOME como bloque reusable.

Metodos, variables, secciones o instancias detectadas
- L11: `HomeSequenceStep currentStep =`
- L14: `int homeResult =`
- L18: `currentStep != HOME_STEP_DONE &&`
- L19: `homeResult == HOME_SEQUENCE_OK`
- L24: `printf("ERROR: Motion controller invalid.\n");`
- L25: `printf("Check axis names, duplicate names or STEP pins.\n");`
- L26: `homeResult =`
- L31: `currentStep =`
- L36: `motion.printAxisMap();`
- L38: `currentStep =`
- L44: `printf("ERROR: Invalid home order.\n");`
- L45: `motion.emergencyStop();`
- L46: `homeResult =`
- L51: `currentStep =`
- L56: `motion.printHomeOrder();`
- L58: `currentStep =`
- L63: `motion.init();`
- L65: `currentStep =`
- L70: `printf("Starting HOME...\n");`
- L72: `bool homingOk =`
- L73: `motion.homeAll();`
- L76: `printf("ERROR: HOME failed.\n");`
- L77: `motion.emergencyStop();`
- L78: `homeResult =`
- L83: `printf("HOME completed.\n");`
- L85: `currentStep =`
- L94: `motion.emergencyStop();`
- L95: `homeResult =`
- L101: `if (homeResult != HOME_SEQUENCE_OK) {`
- L108: `tight_loop_contents();`

Quien lo manda a llamar / relacion con otros archivos
- Los headers en lib son incluidos por implementaciones en src y por prgProject/main.cpp.
- Los .cpp son compilados por prgProject/CMakeLists.txt y sus funciones se ejecutan desde main.cpp o desde otros objetos del controlador.
- Los archivos config/recipes/*.txt son consumidos por RecipeLoader/SdRecipeStorage/MachineRecipeParser cuando se carga una receta.
- Los manuales son referencia de uso y no participan en la compilacion.

Explicacion linea por linea
| Linea | Codigo | Explicacion |
|---:|---|---|
| 1 | `#include "HomeSequenceFunctionBlock.h"` | Incluye una dependencia necesaria para declaraciones, tipos o funciones usadas en este archivo. |
| 2 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 3 | `#include "pico/stdlib.h"` | Incluye una dependencia necesaria para declaraciones, tipos o funciones usadas en este archivo. |
| 4 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 5 | `#include <stdio.h>` | Incluye una dependencia necesaria para declaraciones, tipos o funciones usadas en este archivo. |
| 6 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 7 | `int executeHomeSequence(` | Declara o implementa una funcion/metodo; sus parametros controlan la operacion y su retorno informa resultado o dato. |
| 8 | `    AdvanceMotionController& motion,` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 9 | `    std::initializer_list<const char*> orderedAxisNames` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 10 | `) {` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 11 | `    HomeSequenceStep currentStep =` | Asigna o configura un valor; en recetas define un parametro usado por el firmware. |
| 12 | `        HOME_STEP_VALIDATE_CONTROLLER;` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 13 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 14 | `    int homeResult =` | Declara o implementa una funcion/metodo; sus parametros controlan la operacion y su retorno informa resultado o dato. |
| 15 | `        HOME_SEQUENCE_OK;` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 16 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
