MANUAL ACTUALIZADO - FunctionBlocks/HomeSequenceFunctionBlock.h
================================================================================
Funcion inicial del archivo
- Encapsula la secuencia de HOME como bloque reusable.

Metodos, variables, secciones o instancias detectadas
- L8: `enum HomeSequenceResult {`
- L9: `HOME_SEQUENCE_OK = 0,`
- L10: `HOME_SEQUENCE_ERROR_INVALID_CONTROLLER = 1,`
- L11: `HOME_SEQUENCE_ERROR_INVALID_ORDER = 2,`
- L12: `HOME_SEQUENCE_ERROR_HOMING_FAILED = 3`
- L15: `enum HomeSequenceStep {`
- L16: `HOME_STEP_VALIDATE_CONTROLLER = 0,`

Quien lo manda a llamar / relacion con otros archivos
- Los headers en lib son incluidos por implementaciones en src y por prgProject/main.cpp.
- Los .cpp son compilados por prgProject/CMakeLists.txt y sus funciones se ejecutan desde main.cpp o desde otros objetos del controlador.
- Los archivos config/recipes/*.txt son consumidos por RecipeLoader/SdRecipeStorage/MachineRecipeParser cuando se carga una receta.
- Los manuales son referencia de uso y no participan en la compilacion.

Explicacion linea por linea
| Linea | Codigo | Explicacion |
|---:|---|---|
| 1 | `#ifndef HOME_SEQUENCE_FUNCTION_BLOCK_H` | Directiva de preprocesador que protege o cierra la inclusion del header. |
| 2 | `#define HOME_SEQUENCE_FUNCTION_BLOCK_H` | Directiva de preprocesador que protege o cierra la inclusion del header. |
| 3 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 4 | `#include <initializer_list>` | Incluye una dependencia necesaria para declaraciones, tipos o funciones usadas en este archivo. |
| 5 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 6 | `#include "AdvanceMotionController.h"` | Incluye una dependencia necesaria para declaraciones, tipos o funciones usadas en este archivo. |
| 7 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 8 | `enum HomeSequenceResult {` | Declara un conjunto de constantes con nombre. |
| 9 | `    HOME_SEQUENCE_OK = 0,` | Asigna o configura un valor; en recetas define un parametro usado por el firmware. |
| 10 | `    HOME_SEQUENCE_ERROR_INVALID_CONTROLLER = 1,` | Asigna o configura un valor; en recetas define un parametro usado por el firmware. |
| 11 | `    HOME_SEQUENCE_ERROR_INVALID_ORDER = 2,` | Asigna o configura un valor; en recetas define un parametro usado por el firmware. |
| 12 | `    HOME_SEQUENCE_ERROR_HOMING_FAILED = 3` | Asigna o configura un valor; en recetas define un parametro usado por el firmware. |
| 13 | `};` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 14 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 15 | `enum HomeSequenceStep {` | Declara un conjunto de constantes con nombre. |
| 16 | `    HOME_STEP_VALIDATE_CONTROLLER = 0,` | Asigna o configura un valor; en recetas define un parametro usado por el firmware. |
| 17 | `    HOME_STEP_PRINT_AXIS_MAP,` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 18 | `    HOME_STEP_CONFIGURE_HOME_ORDER,` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 19 | `    HOME_STEP_PRINT_HOME_ORDER,` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 20 | `    HOME_STEP_INITIALIZE_HARDWARE,` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 21 | `    HOME_STEP_EXECUTE_HOME,` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 22 | `    HOME_STEP_DONE` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 23 | `};` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 24 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 25 | `int executeHomeSequence(` | Declara o implementa una funcion/metodo; sus parametros controlan la operacion y su retorno informa resultado o dato. |
| 26 | `    AdvanceMotionController& motion,` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 27 | `    std::initializer_list<const char*> orderedAxisNames` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 28 | `);` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 29 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 30 | `#endif` | Directiva de preprocesador que protege o cierra la inclusion del header. |
