MANUAL ACTUALIZADO - lib/objMotion/MotionBlock.h
================================================================================
Funcion inicial del archivo
- Define el bloque de movimiento ya planificado que ejecuta el controlador.

Metodos, variables, secciones o instancias detectadas
- L6: `struct MotionBlock {`
- L7: `static const uint MAX_AXES = 8;`
- L31: `void reset() {`
- L32: `axisCount = 0;`
- L34: `dominantSteps = 0;`
- L36: `distanceMm = 0.0f;`
- L38: `requestedSpeedMmS = 0.0f;`
- L39: `nominalSpeedMmS = 0.0f;`
- L41: `entrySpeedMmS = 0.0f;`
- L42: `exitSpeedMmS = 0.0f;`
- L44: `accelerationMmS2 = 0.0f;`
- L46: `valid = false;`
- L48: `for (uint i = 0; i < MAX_AXES; i++) {`
- L49: `deltaSteps[i] = 0;`
- L50: `absSteps[i] = 0;`
- L51: `direction[i] = true;`
- L52: `deltaMm[i] = 0.0f;`

Quien lo manda a llamar / relacion con otros archivos
- Los headers en lib son incluidos por implementaciones en src y por prgProject/main.cpp.
- Los .cpp son compilados por prgProject/CMakeLists.txt y sus funciones se ejecutan desde main.cpp o desde otros objetos del controlador.
- Los archivos config/recipes/*.txt son consumidos por RecipeLoader/SdRecipeStorage/MachineRecipeParser cuando se carga una receta.
- Los manuales son referencia de uso y no participan en la compilacion.

Explicacion linea por linea
| Linea | Codigo | Explicacion |
|---:|---|---|
| 1 | `#ifndef MOTION_BLOCK_H` | Directiva de preprocesador que protege o cierra la inclusion del header. |
| 2 | `#define MOTION_BLOCK_H` | Directiva de preprocesador que protege o cierra la inclusion del header. |
| 3 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 4 | `#include "pico/stdlib.h"` | Incluye una dependencia necesaria para declaraciones, tipos o funciones usadas en este archivo. |
| 5 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 6 | `struct MotionBlock {` | Declara una estructura de datos para agrupar variables relacionadas. |
| 7 | `    static const uint MAX_AXES = 8;` | Declara o define simbolo de alcance estatico/externo usado por otros modulos segun corresponda. |
| 8 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 9 | `    uint axisCount;` | Declara o implementa una funcion/metodo; sus parametros controlan la operacion y su retorno informa resultado o dato. |
| 10 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 11 | `    int32_t deltaSteps[MAX_AXES];` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 12 | `    uint32_t absSteps[MAX_AXES];` | Declara o implementa una funcion/metodo; sus parametros controlan la operacion y su retorno informa resultado o dato. |
| 13 | `    bool direction[MAX_AXES];` | Declara o implementa una funcion/metodo; sus parametros controlan la operacion y su retorno informa resultado o dato. |
| 14 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 15 | `    uint32_t dominantSteps;` | Declara o implementa una funcion/metodo; sus parametros controlan la operacion y su retorno informa resultado o dato. |
| 16 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 17 | `    float deltaMm[MAX_AXES];` | Declara o implementa una funcion/metodo; sus parametros controlan la operacion y su retorno informa resultado o dato. |
| 18 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 19 | `    float distanceMm;` | Declara o implementa una funcion/metodo; sus parametros controlan la operacion y su retorno informa resultado o dato. |
| 20 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 21 | `    float requestedSpeedMmS;` | Declara o implementa una funcion/metodo; sus parametros controlan la operacion y su retorno informa resultado o dato. |
| 22 | `    float nominalSpeedMmS;` | Declara o implementa una funcion/metodo; sus parametros controlan la operacion y su retorno informa resultado o dato. |
