MANUAL ACTUALIZADO - prgProject/pico_sdk_import.cmake
================================================================================
Funcion inicial del archivo
- Archivo de soporte/documentacion del proyecto.

Metodos, variables, secciones o instancias detectadas
- L5: `set(PICO_SDK_PATH $ENV{PICO_SDK_PATH})`
- L6: `message("Using PICO_SDK_PATH from environment ('${PICO_SDK_PATH}')")`
- L7: `endif ()`
- L10: `set(PICO_SDK_FETCH_FROM_GIT $ENV{PICO_SDK_FETCH_FROM_GIT})`
- L11: `message("Using PICO_SDK_FETCH_FROM_GIT from environment ('${PICO_SDK_FETCH_FROM_GIT}')")`
- L12: `endif ()`
- L15: `set(PICO_SDK_FETCH_FROM_GIT_PATH $ENV{PICO_SDK_FETCH_FROM_GIT_PATH})`
- L16: `message("Using PICO_SDK_FETCH_FROM_GIT_PATH from environment ('${PICO_SDK_FETCH_FROM_GIT_PATH}')")`
- L17: `endif ()`
- L19: `set(PICO_SDK_PATH "${PICO_SDK_PATH}" CACHE PATH "Path to the Raspberry Pi Pico SDK")`
- L20: `set(PICO_SDK_FETCH_FROM_GIT "${PICO_SDK_FETCH_FROM_GIT}" CACHE BOOL "Set to ON to fetch copy of SDK from git if not otherwise locatable")`
- L21: `set(PICO_SDK_FETCH_FROM_GIT_PATH "${PICO_SDK_FETCH_FROM_GIT_PATH}" CACHE FILEPATH "location to download SDK")`
- L25: `include(FetchContent)`
- L26: `set(FETCHCONTENT_BASE_DIR_SAVE ${FETCHCONTENT_BASE_DIR})`
- L28: `get_filename_component(FETCHCONTENT_BASE_DIR "${PICO_SDK_FETCH_FROM_GIT_PATH}" REALPATH BASE_DIR "${CMAKE_SOURCE_DIR}")`
- L29: `endif ()`
- L36: `message("Downloading Raspberry Pi Pico SDK")`
- L37: `FetchContent_Populate(pico_sdk)`
- L38: `set(PICO_SDK_PATH ${pico_sdk_SOURCE_DIR})`
- L39: `endif ()`
- L40: `set(FETCHCONTENT_BASE_DIR ${FETCHCONTENT_BASE_DIR_SAVE})`
- L41: `else ()`
- L45: `endif ()`
- L46: `endif ()`
- L48: `get_filename_component(PICO_SDK_PATH "${PICO_SDK_PATH}" REALPATH BASE_DIR "${CMAKE_BINARY_DIR}")`
- L50: `message(FATAL_ERROR "Directory '${PICO_SDK_PATH}' not found")`
- L51: `endif ()`
- L53: `set(PICO_SDK_INIT_CMAKE_FILE ${PICO_SDK_PATH}/pico_sdk_init.cmake)`
- L55: `message(FATAL_ERROR "Directory '${PICO_SDK_PATH}' does not appear to contain the Raspberry Pi Pico SDK")`
- L56: `endif ()`
- L58: `set(PICO_SDK_PATH ${PICO_SDK_PATH} CACHE PATH "Path to the Raspberry Pi Pico SDK" FORCE)`
- L60: `include(${PICO_SDK_INIT_CMAKE_FILE})`

Quien lo manda a llamar / relacion con otros archivos
- Los headers en lib son incluidos por implementaciones en src y por prgProject/main.cpp.
- Los .cpp son compilados por prgProject/CMakeLists.txt y sus funciones se ejecutan desde main.cpp o desde otros objetos del controlador.
- Los archivos config/recipes/*.txt son consumidos por RecipeLoader/SdRecipeStorage/MachineRecipeParser cuando se carga una receta.
- Los manuales son referencia de uso y no participan en la compilacion.

Explicacion linea por linea
| Linea | Codigo | Explicacion |
|---:|---|---|
| 1 | `# This is a copy of <PICO_SDK_PATH>/external/pico_sdk_import.cmake` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 2 | `# It can be dropped into an external project to help locate the Raspberry Pi Pico SDK.` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 3 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 4 | `if (DEFINED ENV{PICO_SDK_PATH} AND (NOT PICO_SDK_PATH))` | Evalua una condicion para decidir si ejecutar el bloque siguiente. |
| 5 | `    set(PICO_SDK_PATH $ENV{PICO_SDK_PATH})` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 6 | `    message("Using PICO_SDK_PATH from environment ('${PICO_SDK_PATH}')")` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 7 | `endif ()` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 8 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 9 | `if (DEFINED ENV{PICO_SDK_FETCH_FROM_GIT} AND (NOT PICO_SDK_FETCH_FROM_GIT))` | Evalua una condicion para decidir si ejecutar el bloque siguiente. |
| 10 | `    set(PICO_SDK_FETCH_FROM_GIT $ENV{PICO_SDK_FETCH_FROM_GIT})` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 11 | `    message("Using PICO_SDK_FETCH_FROM_GIT from environment ('${PICO_SDK_FETCH_FROM_GIT}')")` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 12 | `endif ()` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 13 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 14 | `if (DEFINED ENV{PICO_SDK_FETCH_FROM_GIT_PATH} AND (NOT PICO_SDK_FETCH_FROM_GIT_PATH))` | Evalua una condicion para decidir si ejecutar el bloque siguiente. |
| 15 | `    set(PICO_SDK_FETCH_FROM_GIT_PATH $ENV{PICO_SDK_FETCH_FROM_GIT_PATH})` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 16 | `    message("Using PICO_SDK_FETCH_FROM_GIT_PATH from environment ('${PICO_SDK_FETCH_FROM_GIT_PATH}')")` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 17 | `endif ()` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 18 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 19 | `set(PICO_SDK_PATH "${PICO_SDK_PATH}" CACHE PATH "Path to the Raspberry Pi Pico SDK")` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 20 | `set(PICO_SDK_FETCH_FROM_GIT "${PICO_SDK_FETCH_FROM_GIT}" CACHE BOOL "Set to ON to fetch copy of SDK from git if not otherwise locatable")` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
