MANUAL ACTUALIZADO - src/srcStepper/stepper.pio
================================================================================
Funcion inicial del archivo
- Genera pulsos STEP para hasta 8 ejes usando PIO y mascaras de bits.

Metodos, variables, secciones o instancias detectadas
- L7: `; bit 0 = STEP eje 0`
- L8: `; bit 1 = STEP eje 1`
- L9: `; bit 2 = STEP eje 2`
- L11: `; bit 7 = STEP eje 7`
- L33: `const uint step_pin_count = 8;`
- L35: `for (uint i = 0; i < step_pin_count; i++) {`
- L36: `uint pin = first_step_pin + i;`
- L38: `gpio_init(pin);`
- L39: `gpio_set_dir(pin, GPIO_OUT);`
- L40: `gpio_put(pin, 0);`
- L42: `pio_gpio_init(pio, pin);`
- L53: `pio_sm_config c =`
- L54: `stepper_multi_program_get_default_config(offset);`
- L74: `float div =`
- L75: `(float)clock_get_hz(clk_sys) /`
- L78: `sm_config_set_clkdiv(&c, div);`

Quien lo manda a llamar / relacion con otros archivos
- Los headers en lib son incluidos por implementaciones en src y por prgProject/main.cpp.
- Los .cpp son compilados por prgProject/CMakeLists.txt y sus funciones se ejecutan desde main.cpp o desde otros objetos del controlador.
- Los archivos config/recipes/*.txt son consumidos por RecipeLoader/SdRecipeStorage/MachineRecipeParser cuando se carga una receta.
- Los manuales son referencia de uso y no participan en la compilacion.

Explicacion linea por linea
| Linea | Codigo | Explicacion |
|---:|---|---|
| 1 | `.program stepper_multi` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 2 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 3 | `; Controla 8 pines STEP consecutivos.` | Comentario/documentacion interna del codigo o configuracion. |
| 4 | `;` | Comentario/documentacion interna del codigo o configuracion. |
| 5 | `; Cada dato recibido por FIFO es una máscara:` | Comentario/documentacion interna del codigo o configuracion. |
| 6 | `;` | Comentario/documentacion interna del codigo o configuracion. |
| 7 | `; bit 0 = STEP eje 0` | Comentario/documentacion interna del codigo o configuracion. |
| 8 | `; bit 1 = STEP eje 1` | Comentario/documentacion interna del codigo o configuracion. |
| 9 | `; bit 2 = STEP eje 2` | Comentario/documentacion interna del codigo o configuracion. |
| 10 | `; ...` | Comentario/documentacion interna del codigo o configuracion. |
| 11 | `; bit 7 = STEP eje 7` | Comentario/documentacion interna del codigo o configuracion. |
| 12 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 13 | `.define public STEP_HIGH_DELAY 2` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 14 | `.define public STEP_LOW_DELAY 2` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 15 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
